Batch_Number,Avg_CE_Train,Avg_Accuracy,Avg_CE_Test,Num_Runs
166,0.3882285714285714,89.48922077922079,0.3583948051948052,77
167,0.38426623376623376,89.48545454545454,0.3591467532467532,77
168,0.3693935064935065,89.61103896103896,0.3550493506493506,77
169,0.34883896103896106,89.56896103896105,0.3565038961038961,77
170,0.36464155844155843,89.6209090909091,0.3549285714285714,77
171,0.3815168831168831,89.5912987012987,0.3552506493506493,77
172,0.35782857142857144,89.50675324675323,0.356625974025974,77
173,0.368487012987013,89.50506493506494,0.3560168831168831,77
174,0.3776766233766234,89.54246753246754,0.356361038961039,77
175,0.3756376623376623,89.56298701298702,0.3556467532467532,77
176,0.3940272727272727,89.62480519480519,0.3552181818181818,77
177,0.38880519480519476,89.63337662337663,0.3529831168831169,77
178,0.36924025974025976,89.66831168831169,0.35265714285714284,77
179,0.39143116883116885,89.4851948051948,0.3576688311688312,77
180,0.3793462962962963,89.58759259259259,0.3542814814814815,54
181,0.3494629629629629,89.63944444444444,0.3533833333333333,54
182,0.34226666666666666,89.73962962962962,0.35018333333333335,54
183,0.36085555555555554,89.73092592592593,0.35044629629629626,54
184,0.3918907407407407,89.68314814814815,0.3521185185185185,54
185,0.3669111111111111,89.73203703703703,0.35078148148148147,54
186,0.3844,89.76203703703703,0.34902777777777777,54
187,0.3698296296296296,89.66703703703705,0.35233333333333333,54
188,0.3579388888888889,89.75111111111111,0.3488462962962963,54
189,0.3471740740740741,89.66592592592593,0.35150925925925924,54
190,0.39008333333333334,89.64592592592592,0.3521222222222222,54
191,0.34585,89.80259259259259,0.3487925925925926,54
192,0.35297222222222224,89.63814814814815,0.35295925925925925,54
193,0.3705277777777778,89.81407407407407,0.3488351851851852,54
194,0.36209074074074077,89.84296296296296,0.3464037037037037,54
195,0.36524629629629635,89.83203703703704,0.3486203703703704,54
196,0.38235185185185183,89.74944444444445,0.35048703703703704,54
197,0.36367037037037037,89.77111111111111,0.3499333333333333,54
198,0.3668425925925926,89.77166666666666,0.34873703703703707,54
199,0.38627407407407405,89.86314814814814,0.34732222222222225,54
200,0.34537142857142855,90.012,0.34364285714285714,35
201,0.39766,89.83942857142857,0.34810857142857143,35
202,0.34817714285714285,89.89571428571428,0.34574857142857146,35
203,0.4152742857142857,89.76085714285715,0.34786285714285714,35
204,0.3779057142857143,89.84628571428571,0.34782857142857143,35
205,0.3729428571428572,89.852,0.34692285714285714,35
206,0.3273028571428572,89.79257142857142,0.3468257142857143,35
207,0.39029714285714284,89.89542857142858,0.34422857142857144,35
208,0.38104857142857146,89.81028571428571,0.3474885714285714,35
209,0.35355142857142857,89.81771428571429,0.3471571428571429,35
210,0.36536857142857143,90.03342857142857,0.3427428571428572,35
211,0.36057142857142854,89.83342857142857,0.34771142857142856,35
212,0.36265714285714284,89.90457142857143,0.34527714285714284,35
213,0.38448,89.86857142857143,0.34607714285714286,35
214,0.35080285714285714,89.95342857142857,0.3434028571428571,35
215,0.3922514285714286,89.776,0.3485142857142857,35
216,0.35890285714285713,89.926,0.34471142857142856,35
217,0.33810285714285715,89.99114285714286,0.34359428571428574,35
218,0.34342,89.956,0.3440142857142857,35
219,0.37028285714285714,89.79314285714287,0.3479285714285714,35
220,0.379135,90.03450000000001,0.34243,20
221,0.34865,90.1085,0.33796,20
222,0.39126,89.9155,0.34448,20
223,0.36117499999999997,89.97749999999999,0.34214,20
224,0.384805,89.876,0.344845,20
225,0.38427500000000003,90.026,0.33909,20
226,0.360615,90.1305,0.33848500000000004,20
227,0.389865,90.075,0.34009999999999996,20
228,0.309395,90.084,0.33945,20
229,0.379575,89.819,0.345725,20
230,0.39497499999999997,89.82000000000001,0.34629,20
231,0.353035,90.0055,0.34263499999999997,20
232,0.33535,90.123,0.340585,20
233,0.33771,90.0015,0.344055,20
234,0.34413,90.2125,0.33814,20
235,0.392415,89.876,0.345955,20
236,0.36886,90.062,0.34182,20
237,0.34512,90.2405,0.33697,20
238,0.340015,89.9585,0.34273,20
239,0.37134999999999996,90.1465,0.337725,20
240,0.3886,90.13153846153847,0.33909999999999996,13
241,0.32280769230769235,90.09307692307692,0.33956153846153847,13
242,0.36933846153846156,89.98538461538462,0.3428076923076923,13
243,0.3848153846153846,90.02307692307691,0.34033076923076927,13
244,0.34026153846153845,90.25,0.3336153846153846,13
245,0.33507692307692305,90.14076923076922,0.3353615384615385,13
246,0.3422769230769231,90.2046153846154,0.3352076923076923,13
247,0.3482538461538462,89.99461538461539,0.3417538461538462,13
248,0.36477692307692305,90.15,0.3362076923076923,13
249,0.3867076923076923,90.08923076923078,0.33934615384615385,13
250,0.3646692307692308,89.96923076923076,0.34374615384615387,13
251,0.34996923076923075,90.03076923076924,0.33984615384615385,13
252,0.32051538461538465,89.93615384615386,0.34166153846153846,13
253,0.35556923076923075,90.22923076923077,0.33635384615384617,13
254,0.35843846153846154,90.29846153846155,0.3342538461538461,13
255,0.38107692307692304,90.16846153846154,0.3366923076923077,13
256,0.3495769230769231,90.02384615384615,0.33940000000000003,13
257,0.35066153846153847,90.42307692307692,0.32987692307692307,13
258,0.3803076923076923,90.35076923076923,0.3334461538461539,13
259,0.3747076923076923,90.17,0.33789230769230766,13
260,0.3663571428571428,90.35000000000001,0.3313285714285715,7
261,0.3527571428571429,90.1842857142857,0.3388,7
262,0.3628571428571429,90.36857142857143,0.33361428571428575,7
263,0.3132142857142857,90.13714285714286,0.33922857142857143,7
264,0.3863285714285714,90.51142857142858,0.3308142857142857,7
265,0.3726,90.35000000000001,0.3317,7
266,0.3469285714285714,90.29285714285713,0.33267142857142856,7
267,0.31952857142857144,90.04714285714286,0.3395428571428571,7
268,0.26327142857142855,90.28999999999999,0.33749999999999997,7
269,0.2789428571428571,90.30142857142857,0.3323571428571429,7
270,0.3309285714285714,90.27428571428572,0.33728571428571424,7
271,0.3972857142857143,90.14857142857143,0.34167142857142857,7
272,0.3680857142857143,89.87428571428572,0.34648571428571434,7
273,0.33448571428571433,90.44571428571429,0.3335,7
274,0.3788571428571429,90.2757142857143,0.33567142857142857,7
275,0.31808571428571425,90.35000000000001,0.33375714285714286,7
276,0.3523714285714286,89.86,0.3441142857142857,7
277,0.3889142857142857,89.97,0.3414857142857143,7
278,0.3324857142857143,90.40857142857143,0.3332,7
279,0.2989857142857143,90.03857142857143,0.3388285714285714,7
