Prune_Layer,Batch_Size,Pruning_Percentage,CE_Type,AUC
SHL,1024,0.5,Avg_CE_Test,92.36260566751439
SHL,1024,0.4,Avg_CE_Test,94.54212245593807
SHL,1024,0.3,Avg_CE_Test,95.5242744888856
SHL,1024,0.2,Avg_CE_Test,100.55551029941205
SHL,1024,0.1,Avg_CE_Test,101.23098901308286
SHL,1024,0.0,Avg_CE_Test,104.86349729535424
FHL+SHL,64,1.0,Avg_CE_Train,734.5246446651006
FHL+SHL,64,0.995,Avg_CE_Train,459.4451434607254
FHL+SHL,64,0.99,Avg_CE_Train,283.2337275
FHL+SHL,64,0.985,Avg_CE_Train,216.71070504649703
FHL+SHL,64,0.98,Avg_CE_Train,177.97155389449438
FHL+SHL,64,0.96,Avg_CE_Train,146.7400864905534
FHL+SHL,64,0.94,Avg_CE_Train,135.49994544667413
FHL+SHL,64,0.92,Avg_CE_Train,128.22224735261037
FHL+SHL,64,0.9,Avg_CE_Train,123.14599959645446
FHL+SHL,64,0.8,Avg_CE_Train,111.85670794685277
FHL+SHL,64,0.7,Avg_CE_Train,108.89263629042179
FHL+SHL,64,0.6,Avg_CE_Train,110.86110082639652
FHL+SHL,64,0.5,Avg_CE_Train,113.44783206884505
FHL+SHL,64,0.4,Avg_CE_Train,115.43071074875277
FHL+SHL,64,0.3,Avg_CE_Train,119.80433012166837
FHL+SHL,64,0.2,Avg_CE_Train,124.900921521524
FHL+SHL,64,0.1,Avg_CE_Train,131.01453664012587
FHL+SHL,64,0.0,Avg_CE_Train,137.85811012458402
FHL+SHL,64,1.0,Avg_CE_Test,734.5246446651006
FHL+SHL,64,0.995,Avg_CE_Test,455.81947355546237
FHL+SHL,64,0.99,Avg_CE_Test,277.279201046497
FHL+SHL,64,0.985,Avg_CE_Test,210.93534104649703
FHL+SHL,64,0.98,Avg_CE_Test,171.5883488360841
FHL+SHL,64,0.96,Avg_CE_Test,140.70640053503305
FHL+SHL,64,0.94,Avg_CE_Test,129.52499255419974
FHL+SHL,64,0.92,Avg_CE_Test,122.30323216917537
FHL+SHL,64,0.9,Avg_CE_Test,116.89756961036943
FHL+SHL,64,0.8,Avg_CE_Test,105.78759313687955
FHL+SHL,64,0.7,Avg_CE_Test,103.14528286927069
FHL+SHL,64,0.6,Avg_CE_Test,105.39102672003428
FHL+SHL,64,0.5,Avg_CE_Test,107.84342660064641
FHL+SHL,64,0.4,Avg_CE_Test,109.47449198375183
FHL+SHL,64,0.3,Avg_CE_Test,113.78654066801734
FHL+SHL,64,0.2,Avg_CE_Test,118.96385963644565
FHL+SHL,64,0.1,Avg_CE_Test,125.00572508956196
FHL+SHL,64,0.0,Avg_CE_Test,131.3653183194606
FHL+SHL,1024,1.0,Avg_CE_Train,642.4212409453388
FHL+SHL,1024,0.995,Avg_CE_Train,384.968133405078
FHL+SHL,1024,0.99,Avg_CE_Train,232.13707554649702
FHL+SHL,1024,0.985,Avg_CE_Train,177.783412046497
FHL+SHL,1024,0.98,Avg_CE_Train,137.81127128308069
FHL+SHL,1024,0.96,Avg_CE_Train,111.11128648617509
