file,CEasy,B,n,CE_l,BN_learn
slp_0.3_60000_run_42.txt,0.29302001450878523,26.30259711931926,1.3840265332477508,0.49397652235731115,33.0
slp_0.3_60000_run_43.txt,0.29420167824875043,26.22754346613887,1.3796850935745095,0.49504001972328004,33.0
slp_0.3_60000_run_44.txt,0.2950155438966968,22.305231129796876,1.3075954246150765,0.4957724988064316,35.0
slp_0.3_60000_run_45.txt,0.2981137690463486,30.218847098179292,1.426729435390943,0.4985609014411183,33.0
slp_0.3_60000_run_46.txt,0.2958993521157097,34.688150247308755,1.4293844792543846,0.4965679262035434,36.0
slp_0.3_60000_run_47.txt,0.2912360531723487,26.26873781611949,1.3865580177489258,0.4923709571545185,32.0
slp_0.3_60000_run_48.txt,0.2958175612837407,27.401266277168656,1.390813048789915,0.4964943144547713,33.0
slp_0.3_60000_run_49.txt,0.2909189038377503,27.92767931691209,1.3801113187592597,0.49208552275338,34.0
slp_0.3_60000_run_5.txt,0.2926953192362374,26.943839472411803,1.3712402265642651,0.4936842966120183,35.0
slp_0.3_60000_run_50.txt,0.2960155081892325,26.28824560239118,1.3906605248920751,0.496672466669714,32.0
slp_0.3_60000_run_51.txt,0.2947755918851547,29.920117354478858,1.4208084416850992,0.4955565419960437,33.0
slp_0.3_60000_run_52.txt,0.2965708818826238,29.581725531268255,1.427710384055121,0.497172302993766,32.0
slp_0.3_60000_run_53.txt,0.29540577499171544,28.261552782569698,1.4128365875724325,0.4961237067919484,32.0
slp_0.3_60000_run_54.txt,0.2948757510025475,26.471663389689592,1.367398483683258,0.4956466852016972,35.0
slp_0.3_60000_run_55.txt,0.29560247766290726,23.58597452050909,1.3530495257286068,0.496300739196021,32.0
slp_0.3_60000_run_56.txt,0.2973032167662212,30.588542074118873,1.4264342139258448,0.49783140438900375,33.0
slp_0.3_60000_run_57.txt,0.2962446785402019,24.996596451238695,1.3554381204531825,0.4968787199855864,34.0
slp_0.3_60000_run_58.txt,0.29327390394290953,28.3965978781226,1.4152522334971844,0.49420502284802303,32.0
slp_0.3_60000_run_59.txt,0.28922624517500545,23.234030786201565,1.3333844957031165,0.4905621299569094,34.0
slp_0.3_60000_run_6.txt,0.2926655111227745,23.397097987120475,1.336868369573065,0.49365746930990184,34.0
slp_0.3_60000_run_60.txt,0.2966023476704507,29.116225641853454,1.4173549499324691,0.49720062220281025,33.0
slp_0.3_60000_run_61.txt,0.2978655380017935,30.347236316216218,1.4272078170179137,0.49833749350101875,32.0
slp_0.3_60000_run_62.txt,0.29371653424452787,27.9991303538884,1.38832771149497,0.49460339011947974,34.0
slp_0.3_60000_run_63.txt,0.29399793526735163,25.977822908367585,1.3562133977702748,0.49485665104002097,35.0
slp_0.3_60000_run_64.txt,0.2931264054575562,25.942901325296198,1.3649965058412514,0.49407227421120536,35.0
slp_0.3_60000_run_65.txt,0.2924702564170176,29.048182654103083,1.4098779506776744,0.49348174007472045,33.0
slp_0.3_60000_run_66.txt,0.2937656160921701,26.61359203891811,1.39209179351487,0.49464756378235775,32.0
slp_0.3_60000_run_67.txt,0.2958794912880024,28.94975082468837,1.417786398910429,0.49655005145860676,32.0
slp_0.3_60000_run_68.txt,0.2932304532742192,29.69153730549984,1.4059545189795881,0.49416591724620207,33.0
slp_0.3_60000_run_69.txt,0.29005923564694247,18.921151900304856,1.2607494562565396,0.4913118213816525,35.0
slp_0.3_60000_run_7.txt,0.2970936295196487,33.44851645140368,1.4526763679847812,0.49764277586708827,33.0
slp_0.3_60000_run_70.txt,0.2910486714385059,25.479409381229836,1.360050722458415,0.49220231359405964,34.0
