Batch_Number,Mean_Fit_CE,Std_Fit_CE
127,0.33259235026034617,0.0046876211757502844
128,0.3320792518187623,0.0045470039966981485
129,0.33157358959990335,0.004411735282062249
130,0.3310751997581108,0.004281936699955705
131,0.33058392327422065,0.0041577401688988784
132,0.33009960577810105,0.004039286909457098
133,0.3296220973789898,0.003926726108181949
134,0.3291512525032364,0.0038202131337897807
135,0.32868692973907565,0.0037199072522663356
136,0.32822899168807523,0.003625968801443155
137,0.32777730482292583,0.003538555808074904
138,0.3273317393512594,0.0034578200625277125
139,0.32689216908519847,0.0033839027078035786
140,0.3264584713163543,0.0033169294491612405
141,0.32603052669601434,0.003257005544467882
142,0.3256082191202635,0.0032042107879425483
143,0.3251914356198055,0.0031585947436722256
144,0.3247800662542623,0.003120172511899637
145,0.3243740040107355,0.0030889213129785607
146,0.3239731447064366,0.003064778145972348
147,0.32357738689519117,0.0030476387202743077
148,0.3231866317776379,0.003037357773738038
149,0.32280078311495797,0.0030337507890757544
150,0.32241974714596694,0.003036597014735204
151,0.3220434325074221,0.003045643601159958
152,0.3216717501573957,0.0030606105904907744
153,0.3213046133015807,0.0030811964553608883
154,0.3209419373223979,0.0031070838729718563
155,0.3205836397107775,0.0031379454412543595
156,0.32022964000050363,0.003173449087721367
157,0.3198798597050025,0.0032132629796139817
158,0.31953422225647565,0.003257059807008377
159,0.31919265294727267,0.0033045203709860336
160,0.3188550788734089,0.003355336461319775
161,0.31852142888013607,0.0034092130493950327
162,0.31819163350948165,0.003465869851419899
163,0.31786562494967013,0.0035250423351192916
164,0.3175433369863516,0.0035864822517651484
165,0.3172247049555596,0.0036499577766941197
166,0.31690966569832907,0.0037152533375499177
167,0.31659815751690407,0.003782169202266282
168,0.3162901201324733,0.003850520889825299
169,0.3159854946443689,0.003920138457244031
170,0.3156842234906707,0.003990865706861912
171,0.3153862504101587,0.004062559349325333
172,0.3150915204055634,0.004135088149968091
173,0.3147999797080564,0.0042083320796741375
174,0.31451157574293953,0.004282181485779153
175,0.3142262570964792,0.004356536294048291
176,0.31394397348384695,0.004431305249151037
177,0.313664675718118,0.0045064051982172055
178,0.3133883156802924,0.004581760419877504
179,0.31311484629029496,0.004657301999551599
180,0.31284422147892016,0.004732967250543472
181,0.3125763961606843,0.004808699179647533
182,0.3123113262075508,0.0048844459953848954
183,0.31204896842349816,0.004960160656614747
184,0.3117892805198942,0.005035800459049986
185,0.3115322210916552,0.005111326657109222
186,0.31127774959414967,0.005186704118526527
187,0.31102582632083065,0.005261901009190876
188,0.31077641238156195,0.005336888505780339
189,0.31052946968161804,0.005411640533876309
190,0.3102849609013293,0.005486133529380213
191,0.3100428494763541,0.0055603462212003765
192,0.3098030995785506,0.005634259433324522
193,0.30956567609743013,0.005707855904539365
194,0.3093305446221713,0.005781120124200281
195,0.3090976714241725,0.005854038182588545
196,0.3088670234401289,0.005926597634520979
197,0.30863856825560926,0.0059987873749951905
198,0.3084122740891213,0.006070597525764013
199,0.3081881097766461,0.006142019331833878
200,0.30796604475662304,0.00621304506697527
201,0.30774604905537617,0.006283667947418638
202,0.30752809327296,0.006353882052986595
203,0.30731214856941635,0.00642368225498427
204,0.3070981866514239,0.006493064150233532
205,0.3068861797593314,0.006562024000695239
206,0.30667610065455714,0.006630558678176111
207,0.3064679226073479,0.00669866561366459
208,0.30626161938488033,0.006766342750883106
209,0.30605716523969895,0.006833588503682925
210,0.3058545348984725,0.006900401716943063
211,0.30565370355106664,0.006966781630666247
212,0.30545464683991713,0.007032727846993711
213,0.3052573408496943,0.007098240299886251
214,0.3050617620972524,0.007163319227242543
215,0.30486788752185146,0.007227965145246418
216,0.3046756944756462,0.007292178824754225
217,0.30448516071442994,0.007355961269550292
218,0.3042962643886281,0.007419313696314101
219,0.3041089840345332,0.0074822375161569445
220,0.3039232985657726,0.007544734317598348
221,0.3037391872650035,0.007606805850864248
222,0.3035566297758261,0.007668454013399067
223,0.30337560609490977,0.007729680836493609
224,0.30319609656432545,0.007790488472938798
225,0.30301808186407836,0.007850879185623499
226,0.3028415430048321,0.007910855337001314
227,0.302666461320824,0.007970419379357885
228,0.3024928184629592,0.008029573845815928
229,0.30232059639208453,0.008088321342020508
230,0.30214977737243176,0.008146664538451882
231,0.3019803439652277,0.008204606163317623
232,0.3018122790224664,0.008262148995979685
233,0.3016455656808377,0.008319295860875734
234,0.3014801873558071,0.008376049621897282
235,0.3013161277358447,0.00843241317719039
236,0.30115337077679594,0.00848838945434717
237,0.30099190069639425,0.008543981405959144
238,0.30083170196890513,0.008599192005505555
239,0.30067275931990367,0.008654024243552001
240,0.3005150577211817,0.008708481124236656
241,0.3003585823857732,0.008762565662023034
