Batch_Size,Pruning_Percentage,PerRun_A,PerRun_A_std,PerRun_B,PerRun_B_std,PerRun_n,PerRun_n_std,V4_A,V4_B,V4_n
1024,92.0,0.48212859186203205,0.044367400769751625,7.871056974759856,1.5259582404508094,0.6010541110018892,0.04747022919500899,0.4490160388617769,7.049384504656253,0.5637732653387353
1024,94.0,0.5670535836455701,0.05470215841844318,6.538345962918724,0.4782146853724875,0.5280920569113455,0.024381517436381447,0.836865,1.0307176612903146,0.5
1024,96.0,0.9442651214808047,0.22137974816922756,3.958767179809958,2.496910513480972,0.5006643067199241,0.005181354744220954,1.0782883333333333,0.9381612634408731,0.5
1024,98.0,1.5157884707972593,0.17134827998451468,1.4708167867716158,1.7053275588859558,0.5000050865125947,1.7242056697318588e-05,1.4414966666666666,0.7283619623655868,0.5
1024,100.0,2.3000000000000007,8.881784197001252e-16,0.0,0.0,0.5,0.0,2.3,0.0,0.5
60000,0.0,0.29384987227930226,0.006169603813200606,6.763186570838737,1.0219998656684444,1.0798523322770521,0.054385496136039976,0.3278666335887592,10.928553972727627,1.397879644297398
60000,10.0,0.2834890332536272,0.004164053270762744,6.3825301501793446,0.5748050869847098,1.0281783836783571,0.03355946526526933,0.2983409401990249,7.889532172060953,1.1313382770042537
60000,20.0,0.2737641686645123,0.004615879277589177,6.165502349577631,0.4848323656977994,0.9824796007686181,0.027502534139054746,0.27898218483896253,6.5342074048479475,1.0111183820775755
60000,30.0,0.26656077472131434,0.0030868771761514016,6.257778933011752,0.29293756793919573,0.9516499843349865,0.018765875108538232,0.2706580642804107,6.618331307255588,0.9752679892021594
60000,40.0,0.2609345623535934,0.004059191227465694,6.5549631247294915,0.31608315408650695,0.9274214297351502,0.019289987807492703,0.2655139171032921,6.937738267845717,0.9510714531424208
60000,50.0,0.25651676141445423,0.010395346545054304,6.784970953074395,0.37266097482523386,0.9009311314756041,0.07714898668250218,0.2562979846586045,6.7775989400640775,0.8948934826765689
60000,60.0,0.2562912686347977,0.00836463585144535,7.315730526845589,0.9362927393396059,0.864046467117784,0.04320143016124554,0.26290972084718356,7.905990676530084,0.8953860986662117
60000,70.0,0.275311835938259,0.03577208006172764,8.77354382992221,3.0660195340553256,0.9611646801313514,0.4273806254255695,0.2893598486367466,10.614328662784612,0.9373876805661502
60000,80.0,0.3219648628071204,0.049303321969054244,11.944478943988678,5.6981615996671735,0.9940489656610474,0.4976228279630838,0.2948679871119657,8.950204305556431,0.782834544094152
60000,82.0,0.3210896537668361,0.04376540781255378,11.430201646888968,4.8770129746934865,0.8661337640894624,0.3010715186651546,0.3287417408666324,10.448083126169848,0.8209602703738783
60000,84.0,0.3304917144585561,0.027057658534627372,10.000377182969375,2.989013151616471,0.763497929967515,0.0727677924392157,0.33519886237057017,9.512985858979805,0.7616846216287955
60000,86.0,0.34312947195971066,0.02657545870355471,9.4808113731803,2.3040508230939882,0.7318355704958309,0.053399597033555235,0.3609643768085353,10.000063448488028,0.7606986631925459
60000,88.0,0.3738826101482586,0.030619967468965253,9.277478500384877,2.1192892337307643,0.7028942386490442,0.05261415220932932,0.3589352656481012,8.377507730895072,0.6737907221888126
60000,90.0,0.41678915176822007,0.03452398748970819,9.183235335446302,2.972931327655177,0.6728691523233793,0.07028270231143244,0.40441375129704094,8.23503933300762,0.6473812226010597
60000,92.0,0.47694498723962003,0.04159424114716595,7.810026178046376,1.5673563273700104,0.6035126691648177,0.042662923954451065,0.42766939440495644,6.738845775344393,0.5504266365076732
60000,94.0,0.5506020702010617,0.05013518788615635,6.610341598112605,0.4443725222597827,0.5369884720336544,0.021489954848517196,0.8348575,1.030740403225816,0.5
60000,96.0,0.8328049858087595,0.17178915525021252,4.991250992047402,1.837685142225443,0.5009010339612265,0.006080277186789566,1.02258,0.9712629838709574,0.5
60000,98.0,1.5082265669458723,0.16764070691745708,1.5543100913463028,1.708140199140827,0.5000069161374393,1.998615716982274e-05,1.4680890000000002,0.7018190645161071,0.5
60000,100.0,2.3000000000000007,8.881784197001252e-16,0.0,0.0,0.5,0.0,2.3,0.0,0.5
