Batch_Number,Mean_Fit_CE,Std_Fit_CE
71,0.3604949969767468,0.0021264426806646224
72,0.35951418122897894,0.0020970907455709663
73,0.3585608750827486,0.0020702866065197686
74,0.35763395027869493,0.002045957239767604
75,0.35673233907074475,0.002024027801615256
76,0.3558550302367447,0.002004421642570217
77,0.35500106539986964,0.001987060390045254
78,0.35416953563296544,0.0019718640946915
79,0.35335957832080334,0.0019587514337203677
80,0.35257037425771515,0.0019476399630981964
81,0.3518011449602937,0.0019384464093834624
82,0.35105115017682714,0.001931086991272496
83,0.3503196855768909,0.001925477760648447
84,0.34960608060610093,0.001921534953080453
85,0.3489096964924385,0.0019191753382573021
86,0.3482299243918169,0.0019183165617026876
87,0.34756618366169656,0.0019188774702310273
88,0.3469179202525614,0.0019207784148809715
89,0.3462846052079982,0.0019239415264256075
90,0.3456657332649258,0.0019282909599271888
91,0.345060821546277,0.0019337531061148325
92,0.34446940833909423,0.0019402567685654034
93,0.3438910519516118,0.0019477333067233372
94,0.3433253296434401,0.0019561167456844017
95,0.34277183662346433,0.0019653438543814463
96,0.34223018511051456,0.001975354194350737
97,0.341700003452281,0.001986090141635366
98,0.34118093529830396,0.0019974968846149153
99,0.3406726388232179,0.002009522400657474
100,0.34017478599672324,0.00202211741449323
101,0.33968706189705083,0.0020352353411295806
102,0.33920916406492446,0.0020488322159857983
103,0.3387408018952695,0.0020628666147397986
104,0.3382816960641236,0.002077299565165019
105,0.33783157798839775,0.0020920944530061296
106,0.33739018931631776,0.0021072169237080106
107,0.33695728144653336,0.0021226347815815846
108,0.3365326150740355,0.0021383178877688335
109,0.3361159597611556,0.0021542380581617924
110,0.3357070935320515,0.002170368962239123
111,0.3353058024891904,0.002186686023610596
112,0.33491188045045645,0.002203166322904955
113,0.3345251286055992,0.002219788503500031
114,0.334145355190837,0.00223653268047482
115,0.33377237518050246,0.002253380353060503
116,0.33340600999470305,0.0022703143207798994
117,0.3330460872220351,0.0022873186033910095
118,0.3326924403564574,0.0023043783646889203
119,0.3323449085474868,0.0023214798401696045
120,0.3320033363629395,0.00233861026851849
121,0.3316675735634873,0.002355757826853646
122,0.3313374748883537,0.0023729115696280744
123,0.33101289985150856,0.0023900613710761275
124,0.3306937125477715,0.002407197871074629
125,0.33037978146826474,0.002424312424279306
126,0.33007097932469565,0.002441397052390724
127,0.3297671828819826,0.0024584443994002773
128,0.3294682727987604,0.002475447689665754
129,0.32917413347534547,0.002492400688666603
130,0.32888465290874885,0.002509297666291559
131,0.32859972255436565,0.0025261333625144406
132,0.3283192371939828,0.0025429029553185045
133,0.3280430948097712,0.0025596020307346477
134,0.32777119646394987,0.0025762265548641486
135,0.3275034461838276,0.002592772847762619
136,0.3272397508519399,0.002609237559067371
137,0.32698002010102833,0.0026256176452568738
138,0.3267241662136054,0.0026419103484365248
139,0.32647210402588206,0.002658113176551104
140,0.32622375083583427,0.002674223884929932
141,0.3259790263152019,0.0026902404590763264
142,0.3257378524252302,0.0027061610986183746
143,0.32550015333596327,0.0027219842023431134
144,0.3252658553489207,0.0027377083542412736
145,0.32503488682299336,0.0027533323104941857
146,0.32480717810340104,0.002768854987339222
147,0.32458266145356596,0.0027842754497539516
148,0.32436127098976647,0.002799592900903533
149,0.32414294261843657,0.002814806672299283
150,0.32392761397598846,0.0028299162146200483
151,0.3237152243710406,0.0028449210891512357
152,0.32350571472894063,0.0028598209597993913
153,0.3232990275384773,0.002874615585643206
154,0.3230951068006792,0.00288930481398439
155,0.32289389797961193,0.0029038885738644333
156,0.3226953479550747,0.0029183668700157052
157,0.3224994049771194,0.0029327397772172686
158,0.32230601862230673,0.0029470074350281712
159,0.32211513975162254,0.0029611700428726017
160,0.3219267204699844,0.0029752278554531354
161,0.32174071408726534,0.002989181178470049
162,0.3215570750807707,0.0030030303646260675
163,0.3213757590591054,0.003016775809897408
164,0.3211967227273729,0.0030304179500532454
165,0.32101992385364553,0.0030439572574071016
166,0.3208453212366571,0.0030573942377845895
167,0.3206728746746622,0.003070729427693161
168,0.3205025449354169,0.0030839633916805017
169,0.32033429372723077,0.0030970967198689615
170,0.320168083671048,0.003110130025654539
171,0.3200038782735154,0.0031230639435594477
172,0.31984164190099534,0.0031358991272282333
173,0.3196813397544869,0.003148636247558023
174,0.3195229378454172,0.0031612759909540726
175,0.3193664029722688,0.0031738190577024826
176,0.31921170269800997,0.0031862661604524344
177,0.3190588053282937,0.0031986180228008054
178,0.3189076798903983,0.0032108753779725363
179,0.3187582961128793,0.003223038967590506
180,0.3186106244059014,0.0032351095405292185
181,0.31846463584223117,0.0032470878518468045
182,0.31832030213885787,0.0032589746617903087
183,0.3181775956392219,0.003270770734869591
184,0.3180364892960277,0.0032824768389954355
185,0.3178969566546172,0.0032940937446776747
186,0.31775897183688323,0.00330562222427956
187,0.317622509525705,0.003317063051324801
188,0.31748754494988063,0.0033284169998538254
189,0.31735405386954396,0.0033396848438262063
190,0.3172220125620448,0.00335086735656624
191,0.31709139780827544,0.0033619653102489977
192,0.31696218687942773,0.0033729794754242476
